,Airline ID,Name,City,Country,Latitude,Longitude,Altitude,Timezone,DST,type
4767,6133,Tri Cities Airport,Pasco,United States,46.26470184326172,-119.11900329589844,410,-8.0,A,airport
4768,6134,Akutan Seaplane Base,Akutan,United States,54.1337704415,-165.77889561700002,0,-9.0,A,airport
4769,6136,Lopez Island Airport,Lopez,United States,48.4838981628418,-122.93800354003906,209,-8.0,A,airport
4770,6137,Salekhard Airport,Salekhard,Russia,66.59079742431639,66.61100006103516,218,5.0,N,airport
4771,6138,Khanty Mansiysk Airport,Khanty-Mansiysk,Russia,61.02849960327149,69.08609771728516,76,5.0,N,airport
4772,6139,Nyagan Airport,Nyagan,Russia,62.110001,65.614998,361,5.0,N,airport
4773,6140,Sovetskiy Airport,Sovetskiy,Russia,61.326622009277344,63.60191345214844,351,5.0,N,airport
4774,6141,Izhevsk Airport,Izhevsk,Russia,56.82809829711914,53.45750045776367,531,4.0,N,airport
4775,6142,Pobedilovo Airport,Kirov,Russia,58.50329971313501,49.348300933838,479,3.0,N,airport
4776,6143,Nadym Airport,Nadym,Russia,65.48090362548828,72.69889831542969,49,5.0,N,airport
4777,6144,Raduzhny Airport,Raduzhnyi,Russia,62.15859985350001,77.32890319820001,250,5.0,N,airport
4778,6145,Nefteyugansk Airport,Nefteyugansk,Russia,61.108299255371094,72.6500015258789,115,5.0,N,airport
4779,6146,Kurgan Airport,Kurgan,Russia,55.47529983520508,65.41560363769531,240,5.0,N,airport
4780,6147,Khudzhand Airport,Khudzhand,Tajikistan,40.21540069580078,69.6947021484375,1450,5.0,U,airport
4781,6148,Andizhan Airport,Andizhan,Uzbekistan,40.7276992798,72.2939987183,1515,5.0,U,airport
4782,6149,Fergana International Airport,Fergana,Uzbekistan,40.3587989807,71.7450027466,1980,5.0,U,airport
4783,6150,Namangan Airport,Namangan,Uzbekistan,40.9846000671,71.5567016602,1555,5.0,U,airport
4784,6151,Nukus Airport,Nukus,Uzbekistan,42.48839950561523,59.62329864501953,246,5.0,U,airport
4785,6152,Urgench Airport,Urgench,Uzbekistan,41.58430099487305,60.6417007446289,320,5.0,U,airport
4786,6153,Karshi Khanabad Airport,Khanabad,Uzbekistan,38.833599090599996,65.9215011597,1365,5.0,U,airport
4787,6154,Termez Airport,Termez,Uzbekistan,37.28670120239258,67.30999755859375,1027,5.0,U,airport
4788,6155,Staroselye Airport,Rybinsk,Russia,58.10419845581055,38.92940139770508,423,3.0,N,airport
4789,6156,Belgorod International Airport,Belgorod,Russia,50.643798828125,36.5900993347168,735,3.0,N,airport
4790,6157,Kursk East Airport,Kursk,Russia,51.7505989074707,36.29560089111328,686,3.0,N,airport
4791,6158,Lipetsk Airport,Lipetsk,Russia,52.70280075073242,39.53779983520508,584,3.0,N,airport
4792,6159,Vorkuta Airport,Vorkuta,Russia,67.48860168457031,63.99309921264648,604,3.0,N,airport
4793,6160,Bugulma Airport,Bugulma,Russia,54.63999938964844,52.80170059204102,991,3.0,N,airport
4794,6161,Yoshkar-Ola Airport,Yoshkar-Ola,Russia,56.700599670410156,47.904701232910156,348,3.0,N,airport
4795,6162,Cheboksary Airport,Cheboksary,Russia,56.09030151367188,47.3473014831543,558,3.0,N,airport
4796,6163,Ulyanovsk East Airport,Ulyanovsk,Russia,54.4010009765625,48.80270004272461,252,4.0,N,airport
4797,6164,Orsk Airport,Orsk,Russia,51.0724983215332,58.59560012817383,909,5.0,N,airport
4798,6165,Penza Airport,Penza,Russia,53.11059951782226,45.02109909057617,614,3.0,N,airport
4799,6166,Saransk Airport,Saransk,Russia,54.12512969970703,45.212257385253906,676,3.0,N,airport
4800,6167,Balakovo Airport,Balakovo,Russia,51.8582992554,47.7456016541,95,3.0,N,airport
4801,6168,Hubli Airport,Hubli,India,15.361700058,75.08489990230001,2171,5.5,N,airport
4802,6169,Koggala Airport,Koggala,Sri Lanka,5.993680000305176,80.32029724121094,10,5.5,U,airport
4803,6170,Weerawila Airport,Wirawila,Sri Lanka,6.25448989868,81.23519897460002,50,5.5,U,airport
4804,6171,Battambang Airport,Battambang,Cambodia,13.095600128173828,103.2239990234375,59,7.0,U,airport
4805,6172,Shillong Airport,Shillong,India,25.70359992980957,91.97869873046876,2910,5.5,N,airport
4806,6173,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,26.10610008239746,91.58589935302734,162,5.5,N,airport
4807,6174,Dimapur Airport,Dimapur,India,25.883899688699998,93.77110290530001,487,5.5,N,airport
4808,6175,Tezpur Airport,Tezpur,India,26.7091007232666,92.78469848632812,240,5.5,N,airport
